tag,name,description
eess.AS,Audio and Speech Processing,"Audio and speech processing focuses on theory and methods for processing signals representing audio, speech, and language, and their applications. This includes analysis, synthesis, enhancement, transformation, classification and interpretation of such signals as well as the design, development, and evaluation of associated signal processing systems. Machine learning and pattern analysis applied to any of the above areas is also welcome. Specific topics of interest include: auditory modeling and hearing aids; acoustic beamforming and source localization; classification of acoustic scenes; speaker separation; active noise control and echo cancellation; enhancement; de-reverberation; bioacoustics; music signals analysis, synthesis and modification; music information retrieval; audio for multimedia and joint audio-video processing; spoken and written language modeling, segmentation, tagging, parsing, understanding, and translation; text mining; speech production, perception, and psychoacoustics; speech analysis, synthesis, and perceptual modeling and coding; robust speech recognition; speaker recognition and characterization; deep learning, online learning, and graphical models applied to speech, audio, and language signals; and implementation aspects ranging from system architecture to fast algorithms."
eess.IV,Image and Video Processing,"Image and video processing focuses on theory, algorithms, and architectures for the formation, capture, processing, communication, analysis, and display of images, video, and multidimensional signals in a wide variety of applications. Topics of interest include: mathematical, statistical, and perceptual image and video modeling and representation; linear and nonlinear filtering, de-blurring, enhancement, restoration, and reconstruction from degraded, low-resolution or tomographic data; lossless and lossy compression and coding; segmentation, alignment, and recognition; image rendering, visualization, and printing; computational imaging, including ultrasound, tomographic and magnetic resonance imaging; and image and video analysis, synthesis, storage, search and retrieval."
eess.SP,Signal Processing,"Signal processing focuses on theory, algorithms, performance analysis and applications of signal and data analysis, including physical modeling, processing, detection and parameter estimation, learning, mining, retrieval, and information extraction. The term ""signal"" includes speech, audio, sonar, radar, geophysical, physiological, (bio-) medical, image, video, and multimodal natural and man-made signals, including communication signals and data. Topics of interest include: statistical signal processing, spectral estimation and system identification; filter design, adaptive filtering / stochastic learning; (compressive) sampling, sensing, and transform-domain methods including fast algorithms; signal processing for machine learning and machine learning for signal processing applications; in-network and graph signal processing; convex and nonconvex optimization methods for signal processing applications; radar, sonar, and sensor array beamforming and direction finding; communications signal processing; low power, multi-core and system-on-chip signal processing; sensing, communication, analysis and optimization for cyber-physical systems such as power grids and the Internet of Things."
eess.SY,Systems and Control,"Systems and control focuses on the mathematical theory, analysis, design, and practical implementations of systems and control. In particular, this includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization. Specific areas of research include nonlinear, distributed, adaptive, stochastic and robust control in addition to hybrid and discrete event systems. Application areas include automotive and aerospace control systems, network control, biological systems, multiagent and cooperative control, robotics, reinforcement learning, sensor networks, control of cyber-physical and energy-related systems, and control of computing systems."
math.AC,Commutative Algebra,"Commutative algebra in mathematics focuses on the study of commutative rings, modules, ideals, homological algebra, computational aspects, invariant theory, connections to algebraic geometry and combinatorics"
math.AG,Algebraic Geometry,"Algebraic geometry in mathematics focuses on  geometric properties and structures that are defined algebraically using polynomial equations. In particular, this includes algebraic varieties, stacks, sheaves, schemes, moduli spaces, complex geometry, and quantum cohomology."
math.AP,Analysis of PDEs,"Analysis of PDEs in mathematics focuses on partial differential equations (PDEs). In particular, this includes existence and uniqueness, boundary conditions, linear and non-linear operators, stability, soliton theory, integrable PDE's, and conservation laws, qualitative dynamics"
math.AT,Algebraic Topology,"Algebraic topology in mathematics focuses on homotopy theory, homological algebra, and algebraic treatments of manifolds."
math.CA,Classical Analysis and ODEs,"Classical analysis and ODEs in mathematics focuses on classical analysis and the theory and application of ordinary differential equations. In particular, this includes special functions, orthogonal polynomials, harmonic analysis, ODE's, differential relations, calculus of variations, approximations, expansions, asymptotics."
math.CO,Combinatorics,"Combinatorics in mathematics focuses on the study of finite or countable discrete structures. In particular, this includes discrete mathematics, graph theory, enumeration, combinatorial optimization, Ramsey theory, and combinatorial game theory."
math.CT,Category Theory,"Category theory in mathematics focuses on the abstract study of structures and systems using categories. In particular, this involves enriched categories, topoi, abelian categories, monoidal categories, and homological algebra."
math.CV,Complex Variables,"Complex variables in mathematics focuses on the study of functions of complex numbers, complex manifolds, analytic spaces, and related subjects. In particuler, this includes holomorphic functions, automorphic group actions and forms, pseudoconvexity, complex geometry, analytic spaces, and analytic sheaves."
math.DG,Differential Geometry,"Differential geometry in mathematics focuses on the techniques of differential and integral calculus, as well as linear and multilinear algebra, to study problems involving curves, surfaces, and more generally, geometric structures on differentiable manifolds. In particular, this includes complex, contact, Riemannian, pseudo-Riemannian and Finsler geometry, relativity, gauge theory, and global analysis."
math.DS,Dynamical Systems,"Dynamical systems in mathematics focuses on the study of systems that evolve over time according to a set of rules or equations. In particular, this involves dynamics of differential equations and flows, mechanics, classical few-body problems, iterations, complex dynamics, delayed differential equations."
math.FA,Functional Analysis,"Functional analysis in mathematics focuses on the study of vector spaces endowed with some kind of limit-related structure (e.g., inner product, norm, topology) and the linear operators acting upon these spaces. In particular, this includes banach spaces, function spaces, real functions, integral transforms, theory of distributions, and measure theory."
math.GM,General Mathematics,General mathematics focuses on mathematical material of general interest with topics that fall outside the scope of more specific categories.
math.GN,General Topology,"General topology in mathematics focuses on the basic set-theoretic definitions and constructions used in topology. In particular, this includes continuum theory, point-set topology, spaces with algebraic structure, foundations, dimension theory, local and global properties."
math.GR,Group Theory,"Group theory in mathematics focuses on the study of groups, which are algebraic structures consisting of a set of elements equipped with a single binary operation that combines any two elements to form a third element, in such a way that the operation satisfies four fundamental properties: closure, associativity, the existence of an identity element, and the existence of inverse elements for each element in the group. In particular, this includes finite groups, topological groups, representation theory, cohomology, classification and structure."
math.GT,Geometric Topology,"Geometric topology in mathematics focuses on the study of geometric and topological properties of spaces and manifolds. In particular, this includes manifolds, orbifolds, polyhedra, cell complexes, foliations, and geometric structures."
math.HO,History and Overview,"History and overview in mathematics focuses on the historical aspects and broad survey articles in mathematics. In particular, this includes biographies, philosophy of mathematics, mathematics education, recreational mathematics, communication of mathematics, and ethics in mathematics."
math.IT,Information Theory,Information theory focuses on theoretical and experimental aspects of information theory and coding.
math.KT,K-Theory and Homology,"K-theory is an area of algebraic topology that deals with the study of vector bundles and their generalizations; it provides a framework for understanding various topological and algebraic invariants of spaces and rings. Homology, on the other hand, is a fundamental concept in algebraic topology that involves the construction of algebraic objects (homology groups) to probe topological spaces, allowing for the classification and examination of their properties. In particular, this includes algebraic and topological K-theory, relations with topology, commutative algebra, and operator algebras."
math.LO,Logic,"Logic in mathematics focuses on mathematical logic and foundations. In particular, this includes logic, set theory, point-set topology, and formal mathematics."
math.MG,Metric Geometry,"Metric geometry in mathematics focuses on the study of geometric properties and structures that are defined in terms of distances. In particular, this includes euclidean, hyperbolic, discrete, convex, coarse geometry, comparisons in Riemannian geometry, and symmetric spaces."
math.MP,Mathematical Physics,"Mathematical physics focuses on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories."
math.NA,Numerical Analysis,"Numerical analysis focuses on numerical algorithms for problems in analysis and algebra, and scientific computation."
math.NT,Number Theory,"Number theory in mathematics focuses on the properties and relationships of numbers, particularly integers. In particular, this includes prime numbers, diophantine equations, analytic number theory, algebraic number theory, arithmetic geometry, and Galois theory."
math.OA,Operator Algebras,"Operator algebras in mathematics focuses on linear operators on function spaces and the algebraic structures that arise from them. In particular, this includes algebras of operators on Hilbert space, C^*-algebras, von Neumann algebras, and non-commutative geometry."
math.OC,Optimization and Control,"Optimization and control in mathematics focuses on operations research, linear programming, control theory, systems theory, optimal control, and game theory."
math.PR,Probability,"Probability in mathematics focuses on theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, and queuing theory."
math.QA,Quantum Algebra,"Quantum algebra in mathematics focuses on algebraic structures motivated by quantum theory. In particular, this includes quantum groups, skein theories, operadic and diagrammatic algebra, and quantum field theory."
math.RA,Rings and Algebras,"Rings and algebras in mathematics focuses on the study of rings, algebras, and related structures. In particular, this includes non-commutative rings and algebras, non-associative algebras, universal algebra and lattice theory, linear algebra, and semigroups."
math.RT,Representation Theory,"Representation theory in mathematics focuses on abstract algebraic structures by representing their elements as linear transformations of vector spaces, and by studying modules over these structures. In particular, this includes linear representations of algebras and groups, Lie theory, associative algebras, and multilinear algebra."
math.SG,Symplectic Geometry,"Symplectic geometry in mathematics focuses on symplectic manifolds, which are smooth manifolds equipped with a closed, nondegenerate 2-form called a symplectic form. In particular, this includes hamiltonian systems, symplectic flows, and classical integrable systems."
math.SP,Spectral Theory,"Spectral theory in mathematics focuses on the study of spectral properties of linear operators, particularly those defined on infinite-dimensional spaces such as Hilbert spaces. In particular, this includes Schrodinger operators, operators on manifolds, general differential operators, numerical studies, integral operators, discrete models, resonances, non-self-adjoint operators, and random operators/matrices."
math.ST,Statistics Theory,"Statistics theory in mathematics focuses on applied, computational and theoretical statistics. In particular, this includes statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, and case studies. It also includes Asymptotics, Bayesian Inference, Decision Theory, Estimation, Foundations, Inference, Testing."
astro-ph,Astrophysics,Astrophysics is a science that employs the methods and principles of physics and chemistry in the study of astronomical objects and phenomena.
astro-ph.CO,Cosmology and Nongalactic Astrophysics,"Cosmology and nongalactic astrophysics focuses on phenomenology of early universe, cosmic microwave background, cosmological parameters, primordial element abundances, extragalactic distance scale, and large-scale structure of the universe. Groups, superclusters, voids, intergalactic medium. Particle astrophysics: dark energy, dark matter, baryogenesis, leptogenesis, inflationary models, reheating, monopoles, WIMPs, cosmic strings, primordial black holes, and cosmological gravitational radiation."
astro-ph.EP,Earth and Planetary Astrophysics,"Earth and planetary astrophysics focuses on interplanetary medium, planetary physics, planetary astrobiology, extrasolar planets, comets, asteroids, and meteorites. In addition, it includes structure and formation of the solar system."
astro-ph.GA,Astrophysics of Galaxies,"Astrophysics of galaxies focuses on phenomena pertaining to galaxies or the Milky Way. Star clusters, HII regions and planetary nebulae, the interstellar medium, atomic and molecular clouds, dust. Stellar populations. Galactic structure, formation, dynamics. Galactic nuclei, bulges, disks, halo. Active Galactic Nuclei, supermassive black holes, quasars. Gravitational lens systems. The Milky Way and its contents."
astro-ph.HE,High Energy Astrophysical Phenomena,"High energy astrophysical phenomena focuses on cosmic ray production, acceleration, propagation, detection. Gamma ray astronomy and bursts, X-rays, charged particles, supernovae and other explosive phenomena, stellar remnants and accretion systems, jets, microquasars, neutron stars, pulsars, and black holes."
astro-ph.IM,Instrumentation and Methods for Astrophysics,"Instrumentation and methods for astrophysics focuses on detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design."
astro-ph.SR,Solar and Stellar Astrophysics,"Solar and stellar astrophysics focuses on white dwarfs, brown dwarfs, cataclysmic variables. Star formation and protostellar systems, stellar astrobiology, binary and multiple systems of stars, stellar evolution and structure, coronas. Central stars of planetary nebulae. Helioseismology, solar neutrinos, production and detection of gravitational radiation from stellar systems."
cond-mat,Condensed Matter,"Condensed matter physics is the field of physics that deals with the macroscopic and microscopic physical properties of matter, especially the solid and liquid phases that arise from electromagnetic forces between atoms and electrons."
cond-mat.dis-nn,Disordered Systems and Neural Networks,"Disordered systems and neural networks in condensed matter physics focuses on physical systems that are inherently non-crystalline or lack long-range order. In particular, this includes glasses and spin glasses, properties of random, aperiodic and quasiperiodic systems, transport in disordered media, localization, phenomena mediated by defects and disorder, and neural networks."
cond-mat.mes-hall,Mesoscale and Nanoscale Physics,"Mesoscale and nanoscale physics in condensed matter physics focuses on the physical properties and behaviors of systems with dimensions at the mesoscopic scale (intermediate between microscopic and macroscopic scales) and the nanoscale (typically less than 100 nanometers). In particular, this includes semiconducting nanostructures: quantum dots, wires, and wells. Single electronics, spintronics, 2d electron gases, quantum Hall effect, nanotubes, graphene, and plasmonic nanostructures."
cond-mat.mtrl-sci,Materials Science,"Materials science in condensed matter physics focuses on the properties and behaviors of materials from a condensed matter perspective. In particular, this includes techniques, synthesis, characterization, structure. Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces."
cond-mat.other,Other Condensed Matter,Other condensed matter in physics focuses on topics that fall outside the scope of more specific categories.
cond-mat.quant-gas,Quantum Gases,"Quantum gases in condensed matter physics focuses on ultracold atomic and molecular gases, Bose-Einstein condensation, Feshbach resonances, spinor condensates, optical lattices, quantum simulation with cold atoms and molecules, and macroscopic interference phenomena."
cond-mat.soft,Soft Condensed Matter,"Soft condensed matter in physics focuses on the study of materials that are easily deformable by external fields or internal stresses. In particular, this includes membranes, polymers, liquid crystals, glasses, colloids, and granular matter."
cond-mat.stat-mech,Statistical Mechanics,"Statistical mechanics in condensed matter physics focuses on statistical properties of systems with a large number of particles and the laws that govern their behavior. In particular, this includes phase transitions, thermodynamics, field theory, non-equilibrium phenomena, renormalization group and scaling, integrable models, and turbulence."
cond-mat.str-el,Strongly Correlated Electrons,"Strongly correlated electrons in condensed matter physics focuses on systems where interactions between electrons are so strong that they cannot be described adequately by non-interacting models. In particular, this includes quantum magnetism, non-Fermi liquids, spin liquids, quantum criticality, charge density waves, and metal-insulator transitions."
cond-mat.supr-con,Superconductivity,"Superconductivity in condensed matter physics focuses on the study of materials and phenomena where electrical resistance drops to zero below a certain critical temperature, allowing for the flow of electric current without energy loss. In particular, this includes superconductivity: theory, models, experiment. Superflow in helium."
gr-qc,General Relativity and Quantum Cosmology,"General relativity and quantum cosmology focuses on gravitational physics, including experiments and observations related to the detection and interpretation of gravitational waves, experimental tests of gravitational theories, computational general relativity, relativistic astrophysics, solutions to Einstein's equations and their properties, alternative theories of gravity, classical and quantum cosmology, and quantum gravity."
hep-ex,High Energy Physics - Experiment,"High energy physics - experiment focuses on experimental research in high energy physics. This includes the design, construction, and results of experiments that probe the fundamental particles of matter and the forces that govern their interactions. Research in this category typically involves studies conducted at large-scale particle accelerators, such as the Large Hadron Collider (LHC), and other experimental facilities that investigate phenomena like the Higgs boson, quarks, leptons, and beyond the Standard Model physics."
hep-lat,High Energy Physics - Lattice,"High energy physics - lattice focuses on lattice field theory as a method to investigate the properties of quantum fields and strongly interacting systems, such as quantum chromodynamics (QCD), which is the theory of the strong interaction between quarks and gluons. Lattice field theory provides a non-perturbative approach to studying particle physics, allowing for numerical simulations of theories that are difficult or impossible to solve analytically. In particular, this includes lattice field theory. Phenomenology from lattice field theory. Algorithms for lattice field theory. Hardware for lattice field theory."
hep-ph,High Energy Physics - Phenomenology,"High energy physics - phenomenology focuses on theoretical and phenomenological research related to the understanding of fundamental particles and forces at high energies. In particular, this includes theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results."
hep-th,High Energy Physics - Theory,"High energy physics - theory focuses on formal aspects of quantum field theory. String theory, supersymmetry and supergravity."
math-ph,Mathematical Physics,"Mathematical physics focuses on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories."
nlin.AO,Adaptation and Self-Organizing Systems,"Adaptation and self-organizing systems in nonlinear sciences physics focuses on systems that exhibit adaptive behavior and self-organization. In particular, this includes adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, and machine learning."
nlin.CD,Chaotic Dynamics,"Chaotic dynamics in nonlinear sciences physics focuses on the study of chaotic systems and dynamical systems that exhibit sensitive dependence on initial conditions, leading to behavior that appears to be random or unpredictable even though the systems are deterministic in nature. in paticular, this includes dynamical systems, chaos, quantum chaos, topological dynamics, cycle expansions, turbulence, and propagation."
nlin.CG,Cellular Automata and Lattice Gases,"Cellular automata and lattice gases in nonlinear sciences physics focuses on the study of cellular automata (CA) and lattice gas models, which are discrete, spatially extended dynamical systems used to model complex behavior in a variety of scientific and mathematical contexts. In particular, this includes computational methods, time series analysis, signal processing, wavelets, and lattice gases."
nlin.PS,Pattern Formation and Solitons,"Pattern formation and solitons in nonlinear sciences physics focuses on the study of spontaneous pattern formation in physical, biological, chemical, and related systems. In particular, this includes pattern formation, coherent structures, and solitons."
nlin.SI,Exactly Solvable and Integrable Systems,"Exactly solvable and integrable systems in nonlinear sciences physics focuses on systems that can be solved exactly through analytical methods or have properties that allow for integrability. In particular, this includes exactly solvable systems, integrable PDEs, integrable ODEs, Painleve analysis, integrable discrete maps, solvable lattice models, and integrable quantum systems."
nucl-ex,Nuclear Experiment,"Nuclear experiment in physics focuses on the areas of fundamental interactions, measurements at low- and medium-energy, as well as relativistic heavy-ion collisions. Does not include: detectors and instrumentation nor analysis methods to conduct experiments; descriptions of experimental programs (present or future); comments on published results."
nucl-th,Nuclear Theory,"Nuclear theory in physics focuses on theory of nuclear structure covering wide area from models of hadron structure to neutron stars. Nuclear equation of states at different external conditions. Theory of nuclear reactions including heavy-ion reactions at low and high energies. It does not include problems of data analysis, physics of nuclear reactors, problems of safety, reactor construction."
physics.acc-ph,Accelerator Physics,Accelerator physics focuses on accelerator theory and simulation. Accelerator technology. Accelerator experiments. Beam Physics. Accelerator design and optimization. Advanced accelerator concepts. Radiation sources including synchrotron light sources and free electron lasers. Applications of accelerators.
physics.ao-ph,Atmospheric and Oceanic Physics,"Atmospheric and oceanic physics focuses on the physical processes occurring in the Earth's atmosphere and oceans. In particular, this includes atmospheric and oceanic physics and physical chemistry, biogeophysics, and climate science."
physics.app-ph,Applied Physics,"Applied physics focuses on applications of physics to new technology, including electronic devices, optics, photonics, microwaves, spintronics, advanced materials, metamaterials, nanotechnology, and energy sciences."
physics.atm-clus,Atomic and Molecular Clusters,"Atomic and molecular clusters in physics focuses on atomic and molecular clusters, nanoparticles: geometric, electronic, optical, chemical, magnetic properties, shell structure, phase transitions, optical spectroscopy, mass spectrometry, photoelectron spectroscopy, ionization potential, electron affinity, interaction with intense light pulses, electron diffraction, light scattering, ab initio calculations, DFT theory, fragmentation, Coulomb explosion, hydrodynamic expansion."
physics.atom-ph,Atomic Physics,"Atomic physics focuses on atomic and molecular structure, spectra, collisions, and data. Atoms and molecules in external fields. Molecular dynamics and coherent and optical control. Cold atoms and molecules. Cold collisions. Optical lattices."
physics.bio-ph,Biological Physics,"Biological physics focuses on molecular biophysics, cellular biophysics, neurological biophysics, membrane biophysics, single-molecule biophysics, ecological biophysics, quantum phenomena in biological systems (quantum biophysics), theoretical biophysics, molecular dynamics/modeling and simulation, game theory, biomechanics, bioinformatics, microorganisms, virology, evolution, biophysical methods."
physics.chem-ph,Chemical Physics,"Chemical physics focuses on experimental, computational, and theoretical physics of atoms, molecules, and clusters - Classical and quantum description of states, processes, and dynamics; spectroscopy, electronic structure, conformations, reactions, interactions, and phases. Chemical thermodynamics. Disperse systems. High pressure chemistry. Solid state chemistry. Surface and interface chemistry."
physics.class-ph,Classical Physics,"Classical physics focuses on newtonian and relativistic dynamics; many particle systems; planetary motions; chaos in classical dynamics. Maxwell's equations and dynamics of charged systems and electromagnetic forces in materials. Vibrating systems such as membranes and cantilevers; optomechanics. Classical waves, including acoustics and elasticity; physics of music and musical instruments. Classical thermodynamics and heat flow problems."
physics.comp-ph,Computational Physics,Computational physics focuses on all aspects of computational science applied to physics.
physics.data-an,"Data Analysis, Statistics and Probability","Data analysis, statistics and probability in physics focuses on methods, software and hardware for physics data analysis: data processing and storage; measurement methodology; statistical and mathematical aspects such as parametrization and uncertainties."
physics.ed-ph,Physics Education,"Physics education focuses on report of results of a research study, laboratory experience, assessment or classroom practice that represents a way to improve teaching and learning in physics. Also, report on misconceptions of students, textbook errors, and other similar information relative to promoting physics understanding."
